text,label
"ORM tools like Hibernate can still produce vulnerable queries if not used correctly.",1
"SQL structures like table and column names cannot be safely escaped from user-supplied input.",1
"Metadata manipulation can tamper with JWTs, cookies, or hidden fields to elevate privileges.",1
"Abusing JWT invalidation can lead to access control bypass and unauthorized access.",1
"CORS misconfiguration allows API access from unauthorized or untrusted origins.",1
"Stateful session identifiers should be invalidated on the server after logout to prevent session reuse.",1
"Force browsing to privileged pages as a standard user is a broken access control flaw.",1
"Elevation of privilege occurs when an attacker gains higher-level permissions than authorized.",1
"Default crypto keys and weak generated keys are security risks that can lead to data compromise.",1
"Checking crypto keys into source code repositories is a security risk that exposes credentials.",1
"Deprecated cryptographic padding methods such as PKCS #1 v1.5 are security weaknesses.",1
"Cryptographic error messages can be exploitable in padding oracle side-channel attacks.",1
"Using encryption without authentication can be inappropriate and lead to data tampering.",1
"Randomness not designed for cryptographic use can break security and enable attacks.",1
"Overwriting strong seeding with low-entropy seeds can break cryptographic security.",1
"Initialization vectors must never be reused with the same key in cryptographic operations.",1
"Avoid deprecated cryptographic functions such as MD5, SHA1 for security-sensitive operations.",1
"Unauthenticated remote attackers can exploit path traversal to access files outside web root.",1
"Missing access controls on API endpoints for POST, PUT, and DELETE allows unauthorized operations.",1
"Permitting viewing or editing another user's account by providing its unique identifier is an access control failure.",1
"Exploiting misconfigured permissions on cloud services can lead to data breaches.",1
"Using weak or default credentials allows attackers to easily gain unauthorized access.",1
"Bypassing access control checks by modifying URL parameters is a common web application flaw.",1
"Exploiting vulnerabilities in third-party libraries can compromise application security.",1
"Security questions cannot be trusted as strong evidence of identity for credential recovery.",1
"Anti-bot design and domain logic rules can identify and reject inauthentic purchases in e-commerce.",1
"Data transmitted in clear text over protocols like HTTP, SMTP, or FTP is at risk of interception.",1
"External internet traffic is hazardous and internal traffic should also be verified for security.",1
"Simple or fast hash functions may be cracked by GPUs even when salts are properly applied.",1
"Unsalted hashes can be exposed using rainbow tables of pre-calculated hashes.",1
"The password database using unsalted or simple hashes makes passwords crackable after database theft.",1
"A file upload flaw allows an attacker to retrieve the password database.",1
"An application encrypts credit card numbers but SQL injection can retrieve the data in clear text after decryption.",1
"Violation of the principle of least privilege or deny by default is a fundamental security weakness.",1
React utilizes one-way data flow to pass information down the component hierarchy via props.,0
The App Router in Next.js 15 uses a file-system based routing model for modern React applications.,0
Hydration is the process of attaching event listeners to server-rendered HTML to make it interactive.,0
Every value in Rust has a single owner that determines when the memory is automatically released.,0
Goroutines are independent threads of execution managed by the Go runtime for high concurrency.,0
S3 Lifecycle policies automatically transfer data between storage classes to optimize costs.,0
The control plane in Kubernetes manages the state of the cluster and schedules workloads to nodes.,0
"Fragments in Android move through various lifecycle states including created, started, and resumed.",0
Python lists are mutable sequence types used to group comma-separated values in square brackets.,0
The Record utility type in TypeScript maps specific keys to associated value types for lookup tables.,0
Functional components offer a conciser syntax and better readability than traditional class components.,0
JavaScript adds interactivity to web pages by handling browser events and dynamic content updates.,0
Data in pandas is often used to feed statistical analysis in SciPy and plotting functions in Matplotlib.,0
Docker containers package applications with all dependencies to ensure consistent deployment environments.,0
CSS controls the visual presentation of web pages including responsive design and layout fonts.,0
The useEffect hook synchronizes a component with an external system or handles side effects in React.,0
S3 Standard-Infrequent Access is ideal for data that is accessed less often but requires millisecond retrieval.,0
An API gateway acts as a reverse proxy to accept API calls and aggregate required backend services.,0
Scikit-learn provides a uniform interface where most estimators follow the same fit and predict pattern.,0
Responsive web design ensures that websites display properly across different screen sizes and devices.,0
"Honeywell Experion PKS contains an integer underflow vulnerability in the component Control Data Access",1
"SAP Landscape Transformation allows an attacker to exploit a code injection vulnerability via the RFC function module",1
"The Spark History Web UI is vulnerable to code execution due to overly permissive Jackson deserialization of event log data",1
"A memory corruption vulnerability exists in Radare2 radiff2 function during kons pal initialization",1
"Broken Object Level Authorization occurs when APIs expose endpoints that handle object identifiers without proper access control checks",1
"Unrestricted resource consumption in APIs can lead to Denial of Service or an increase of operational costs",1
"Unsafe consumption of APIs occurs when developers trust data received from third-party APIs more than user input",1
"A prompt injection attack happens when an attacker manipulates a large language model's behavior by injecting malicious input",1
"Sensitive information disclosure occurs when an LLM unintentionally reveals private or proprietary data like credentials",1
"Software supply chain failures involve breakdowns or compromises in the process of building distributing or updating software",1
"Mishandling of exceptional conditions involves improper error handling and systems failing open under abnormal conditions",1
"Insecure configuration of generative AI model inference parameters like temperature can lead to text hallucinations",1
"Calling PKCS12_get_friendlyname on a maliciously crafted file can trigger an out of bounds write in OpenSSL",1
"Storing authentication tokens in a world-readable temporary directory allows local users to access the credentials",1
"A vulnerability in Cisco Webex allows an unauthenticated remote attacker to conduct a cross-site scripting attack",1
"The pandas package is used for data manipulation and analysis in Python by providing DataFrames",0
"The features matrix in Scikit-Learn is a two-dimensional numerical array typically stored in a variable named X",0
"In React props allow a parent component to pass data to a child component to customize its behavior",0
"The control plane serves as the brain of the Kubernetes cluster and manages the status of all containers",0
"Rust's ownership system guarantees memory safety at compile time without needing a garbage collector",0
"Goroutines are lightweight threads managed by the Go runtime to handle concurrent execution within a program",0
"TypeScript utility types like Pick and Omit allow developers to derive new types from existing ones without code duplication",0
"A Pub/Sub topic is a named resource that represents a feed of messages for asynchronous communication",0
"The DRY principle advocates for each piece of knowledge in a system to exist in only one place to simplify maintenance",0
"Refactoring is the process of improving code structure and readability without changing its external behavior",0
"The microservices architecture pattern breaks down applications into small independent services that communicate via APIs",0
"The Observable attribute in SwiftUI allows a class to be automatically observed for changes in its properties",0
"Android fragments move through various lifecycle states including created started resumed and destroyed",0
"Python lists are mutable compound data types used to group together comma-separated values between square brackets",0
"The useEffect hook in React is used to synchronize a component with an external system or handle side effects",0
"A SQL injection flaw in the login form allows attackers to execute arbitrary queries."1	
"Use parameterized queries or prepared statements for all database calls."	,0
"The application trusts user input in XPath queries leading to injection."	,1
"CVE-2024-12345: Buffer overflow in XYZ software may allow code execution.",	1
"Encrypt API tokens in transit using TLS."2	0
"A cross-site scripting vulnerability in comments permits stored script injection."	,1
"Regular expressions are used for input validation."	,0
"Hard-coded cryptographic keys were found in the source code."	,1
"The login page uses HTTP instead of HTTPS."	,0
"CVE-2025-6789: Improper authorization in admin panel allows privilege escalation."	,1
"Refactoring improves code clarity."	,0
"An attacker can bypass authorization by manipulating the user’s session cookie."	,1
"A memory leak occurs in the image processing module."	,0
"Missing checks on file upload permit arbitrary file write."	,1
"JavaScript closures allow private variables."	,0
"A path traversal vulnerability in the report generator exposes internal files."	,1
"Avoid global variables to prevent unintended coupling."	,0
"SQL query uses string concatenation with user input leading to injection."	,1
"Use HTTPS for all web page requests to ensure encryption."2	,0
"API endpoints perform no CSRF protection enabling cross-site requests."	,1
